Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
Sembene!,3/2/2016,7:00 PM,3/2/2016,8:22 PM,False,http://cinema.cornell.edu/Spring2016/sembene.html,,http://www.youtube.com/watch?v=wSpIvrfUMac
Peggy Guggenheim: Art Addict,3/3/2016,7:00 PM,3/3/2016,8:37 PM,False,http://cinema.cornell.edu/Spring2016/peggy_guggenheim_art_add.html,,http://www.youtube.com/watch?v=V8yy8Opyjcs
Creed,3/3/2016,9:15 PM,3/3/2016,11:28 PM,False,http://cinema.cornell.edu/Spring2016/creed.html,,http://www.youtube.com/watch?v=Uv554B7YHk4
Experimenter,3/4/2016,7:00 PM,3/4/2016,8:38 PM,False,http://cinema.cornell.edu/Spring2016/experimenter.html,,http://www.youtube.com/watch?v=O1VOZhwRvWo
Creed,3/4/2016,9:40 PM,3/4/2016,11:53 PM,False,http://cinema.cornell.edu/Spring2016/creed.html,,http://www.youtube.com/watch?v=Uv554B7YHk4
The Wonders,3/5/2016,7:00 PM,3/5/2016,8:50 PM,False,http://cinema.cornell.edu/Spring2016/wonders.html,,http://www.youtube.com/watch?v=TprTVWZF2E0
The Big Short,3/5/2016,9:20 PM,3/5/2016,11:30 PM,False,http://cinema.cornell.edu/Spring2016/big_short.html,,http://www.youtube.com/watch?v=vgqG3ITMv1Q
Peggy Guggenheim: Art Addict,3/6/2016,4:30 PM,3/6/2016,6:07 PM,False,http://cinema.cornell.edu/Spring2016/peggy_guggenheim_art_add.html,,http://www.youtube.com/watch?v=V8yy8Opyjcs
The Wonders,3/6/2016,7:00 PM,3/6/2016,8:50 PM,False,http://cinema.cornell.edu/Spring2016/wonders.html,,http://www.youtube.com/watch?v=TprTVWZF2E0
Riot Acts,3/7/2016,7:00 PM,3/7/2016,8:16 PM,False,http://cinema.cornell.edu/Spring2016/riot_acts.html,,http://vimeo.com/15340476
Christopher Nolan Presents the Brothers Quay in 35 MM,3/9/2016,7:00 PM,3/9/2016,8:07 PM,False,http://cinema.cornell.edu/Spring2016/christopher_nolan_presen.html,,http://www.youtube.com/watch?v=dtT3e3exJA0
Mustang,3/10/2016,7:00 PM,3/10/2016,8:37 PM,False,http://cinema.cornell.edu/Spring2016/mustang.html,,http://www.youtube.com/watch?v=ABNB3zw5BAo
Creed,3/10/2016,9:15 PM,3/10/2016,11:28 PM,False,http://cinema.cornell.edu/Spring2016/creed.html,,http://www.youtube.com/watch?v=Uv554B7YHk4
Invaders from Mars,3/11/2016,7:00 PM,3/11/2016,8:18 PM,False,http://cinema.cornell.edu/Spring2016/invaders_from_mars.html,,http://www.youtube.com/watch?v=EJMgz6ZG-2w
The Big Short,3/11/2016,9:00 PM,3/11/2016,11:10 PM,False,http://cinema.cornell.edu/Spring2016/big_short.html,,http://www.youtube.com/watch?v=vgqG3ITMv1Q
Mustang,3/12/2016,7:00 PM,3/12/2016,8:37 PM,False,http://cinema.cornell.edu/Spring2016/mustang.html,,http://www.youtube.com/watch?v=ABNB3zw5BAo
Only Yesterday,3/12/2016,9:15 PM,3/12/2016,11:13 PM,False,http://cinema.cornell.edu/Spring2016/only_yesterday.html,,http://www.youtube.com/watch?v=OfkQlZArxw0
Only Yesterday,3/13/2016,4:30 PM,3/13/2016,6:28 PM,False,http://cinema.cornell.edu/Spring2016/only_yesterday.html,,http://www.youtube.com/watch?v=OfkQlZArxw0
The Big Short,3/13/2016,7:00 PM,3/13/2016,9:10 PM,False,http://cinema.cornell.edu/Spring2016/big_short.html,,http://www.youtube.com/watch?v=vgqG3ITMv1Q
We Come As Friends,3/14/2016,7:00 PM,3/14/2016,8:50 PM,False,http://cinema.cornell.edu/Spring2016/we_come_as_friends.html,,http://www.youtube.com/watch?v=E0MgQLk2OCQ
Hitchcock/Truffaut,3/16/2016,7:00 PM,3/16/2016,8:19 PM,False,http://cinema.cornell.edu/Spring2016/hitchcocktruffaut.html,,http://www.youtube.com/watch?v=2H5dBxIatZw
Dukhtar (Daughter),3/17/2016,7:00 PM,3/17/2016,8:33 PM,False,http://cinema.cornell.edu/Spring2016/dukhtar_daughter.html,,http://www.youtube.com/watch?v=Zo5xat8WLjU
Hitchcock/Truffaut,3/17/2016,9:15 PM,3/17/2016,10:34 PM,False,http://cinema.cornell.edu/Spring2016/hitchcocktruffaut.html,,http://www.youtube.com/watch?v=2H5dBxIatZw
Elegant Winter Party,3/19/2016,7:30 PM,3/19/2016,8:58 PM,False,http://cinema.cornell.edu/series_Spring2016/elegant-party.html,Willard Straight Hall Memorial Room,http://www.youtube.com/watch?v=M2E_b8ULRHs
Dukhtar (Daughter),3/20/2016,4:30 PM,3/20/2016,6:03 PM,False,http://cinema.cornell.edu/Spring2016/dukhtar_daughter.html,,http://www.youtube.com/watch?v=Zo5xat8WLjU
Dreams Rewired,3/20/2016,7:00 PM,3/20/2016,8:28 PM,False,http://cinema.cornell.edu/Spring2016/dreams_rewired.html,,http://www.youtube.com/watch?v=M2E_b8ULRHs
Stromboli,3/22/2016,7:00 PM,3/22/2016,8:46 PM,False,http://cinema.cornell.edu/Spring2016/stromboli.html,,http://www.youtube.com/watch?v=nAsxCpklYeQ
Ingrid Bergman: In Her Own Words,3/23/2016,7:00 PM,3/23/2016,8:54 PM,False,http://cinema.cornell.edu/Spring2016/ingrid_bergman_in_her_ow.html,,http://www.youtube.com/watch?v=YQl1uLH9dFc
Aelita: Queen of Mars,3/24/2016,7:15 PM,3/24/2016,9:06 PM,False,http://cinema.cornell.edu/Spring2016/aelita_queen_of_mars.html,,http://vimeo.com/11619149
Ingrid Bergman: In Her Own Words,3/25/2016,7:00 PM,3/25/2016,8:54 PM,False,http://cinema.cornell.edu/Spring2016/ingrid_bergman_in_her_ow.html,,http://www.youtube.com/watch?v=YQl1uLH9dFc
Anomalisa,4/6/2016,7:00 PM,4/6/2016,8:30 PM,False,http://cinema.cornell.edu/Spring2016/anomalisa.html,,http://vimeo.com/144765556
The Danish Girl,4/7/2016,7:00 PM,4/7/2016,9:00 PM,False,http://cinema.cornell.edu/Spring2016/danish_girl.html,,http://vimeo.com/138021744
The Yellow Ticket,4/7/2016,7:30 PM,4/7/2016,8:36 PM,False,http://cinema.cornell.edu/Spring2016/yellow_ticket.html,Sage Chapel Cornell,http://vimeo.com/116309556
Anomalisa,4/7/2016,9:30 PM,4/7/2016,11:00 PM,False,http://cinema.cornell.edu/Spring2016/anomalisa.html,,http://vimeo.com/144765556
The Messenger,4/8/2016,7:00 PM,4/8/2016,8:29 PM,False,http://cinema.cornell.edu/Spring2016/messenger.html,,http://www.youtube.com/watch?v=mLX0ul8oh0k
Anomalisa,4/8/2016,9:00 PM,4/8/2016,10:30 PM,False,http://cinema.cornell.edu/Spring2016/anomalisa.html,,http://vimeo.com/144765556
Macbeth,4/9/2016,7:00 PM,4/9/2016,8:53 PM,False,http://cinema.cornell.edu/Spring2016/macbeth.html,,http://www.youtube.com/watch?v=YqHhKuCQmoY
The Danish Girl,4/9/2016,9:30 PM,4/9/2016,11:30 PM,False,http://cinema.cornell.edu/Spring2016/danish_girl.html,,http://vimeo.com/138021744
The Messenger,4/10/2016,4:30 PM,4/10/2016,5:59 PM,False,http://cinema.cornell.edu/Spring2016/messenger.html,,http://www.youtube.com/watch?v=mLX0ul8oh0k
Macbeth,4/10/2016,8:00 PM,4/10/2016,9:53 PM,False,http://cinema.cornell.edu/Spring2016/macbeth.html,,http://www.youtube.com/watch?v=YqHhKuCQmoY
An Evening with Silas Howard,4/12/2016,7:00 PM,4/12/2016,7:00 PM,False,http://cinema.cornell.edu/Spring2016/evening_with_silas_howar.html,,http://www.youtube.com/watch?v=rpycnTdv3Z4
A Space Program,4/13/2016,7:00 PM,4/13/2016,8:12 PM,False,http://cinema.cornell.edu/Spring2016/space_program.html,,http://www.youtube.com/watch?v=Jub9aCfSVkk
The Huntsman: Winter’s War (Sneak Preview!),4/13/2016,9:15 PM,4/13/2016,11:009 PM,False,http://cinema.cornell.edu/Spring2016/huntsman_winters_war.html,,http://www.youtube.com/watch?v=_W65ndip7MM
Carol,4/14/2016,7:00 PM,4/14/2016,8:58 PM,False,http://cinema.cornell.edu/Spring2016/carol.html,,http://www.youtube.com/watch?v=H4z7Px68ywk
The Hateful Eight,4/14/2016,9:30 PM,4/14/2016,12:16 PM,False,http://cinema.cornell.edu/Spring2016/hateful_eight.html,,http://www.youtube.com/watch?v=gnRbXn4-Yis
Carol,4/15/2016,7:00 PM,4/15/2016,8:58 PM,False,http://cinema.cornell.edu/Spring2016/carol.html,,http://www.youtube.com/watch?v=H4z7Px68ywk
The Hateful Eight,4/15/2016,9:30 PM,4/15/2016,12:16 PM,False,http://cinema.cornell.edu/Spring2016/hateful_eight.html,,http://www.youtube.com/watch?v=gnRbXn4-Yis
Rams,4/16/2016,7:00 PM,4/16/2016,8:33 PM,False,http://cinema.cornell.edu/Spring2016/rams.html,,http://www.youtube.com/watch?v=PWVmUVAdi5Y
The Hateful Eight,4/16/2016,9:00 PM,4/16/2016,11:46 PM,False,http://cinema.cornell.edu/Spring2016/hateful_eight.html,,http://www.youtube.com/watch?v=gnRbXn4-Yis
