Monsters University,09/20/13,9:30 PM,09/20/13,9:30 PM,False,http://cinema.cornell.edu/Fall2013/monsters_university.html,,http://www.youtube.com/watch?v=xBzPioph8CI
Monsters University,09/21/13,7:15 PM,09/21/13,7:15 PM,False,http://cinema.cornell.edu/Fall2013/monsters_university.html,,http://www.youtube.com/watch?v=xBzPioph8CI
The Bling Ring,09/21/13,9:30 PM,09/21/13,9:30 PM,False,http://cinema.cornell.edu/Fall2013/bling_ring.html,,http://www.youtube.com/watch?v=BST3CCnP6uE
Sundance Shorts,09/22/13,7:15 PM,09/22/13,8:48 PM,False,http://cinema.cornell.edu/Fall2013/sundance_shorts.html,,http://www.youtube.com/watch?v=4A4H_zwifnA
The Bling Ring,09/22/13,9:30 PM,09/22/13,9:30 PM,False,http://cinema.cornell.edu/Fall2013/bling_ring.html,,http://www.youtube.com/watch?v=BST3CCnP6uE
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,09/24/13,7:30 PM,09/24/13,8:58 PM,False,http://cinema.cornell.edu/Fall2013/deceptive_practice.html,,http://www.youtube.com/watch?v=7OlSeOxJmzg
Silent Shorts Program,09/25/13,7:00 PM,09/25/13,8:30 PM,False,http://cinema.cornell.edu/Fall2013/silent_shorts_program.html,,http://www.youtube.com/watch?v=TeZem3VAN-s
This Is the End,09/25/13,9:00 PM,09/25/13,10:47 PM,False,http://cinema.cornell.edu/Fall2013/this_is_the_end.html,,http://www.youtube.com/watch?v=Yma-g4gTwlE
War Witch,09/26/13,7:00 PM,09/26/13,8:30 PM,False,http://cinema.cornell.edu/Fall2013/war_witch.html,,http://www.youtube.com/watch?v=kX5jXeXPTB4
I Married a Witch,09/26/13,9:20 PM,09/26/13,10:37 PM,False,http://cinema.cornell.edu/Fall2013/i_married_a_witch.html,,http://www.youtube.com/watch?v=30HAocN0L2w
Lolita,09/27/13,7:00 PM,09/27/13,9:33 PM,False,http://cinema.cornell.edu/Fall2013/lolita.html,,http://www.youtube.com/watch?v=zRVqgvW8100
