Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
The Lovers and the Despot,9/26/2016,7:00 PM,9/26/2016,8:34 PM,False,http://cinema.cornell.edu/Fall2016/lovers_and_the_despot.html,,http://vimeo.com/171022607
Containment,9/27/2016,7:00 PM,9/27/2016,8:20 PM,False,http://cinema.cornell.edu/Fall2016/containment.html,,http://vimeo.com/124451868
Fantastic Planet,9/28/2016,7:00 PM,9/28/2016,8:12 PM,False,http://cinema.cornell.edu/Fall2016/fantastic_planet.html,,http://www.youtube.com/watch?v=SgCxCZNkQ9E
Star Trek Beyond,9/28/2016,8:45 PM,9/28/2016,10:47 PM,False,http://cinema.cornell.edu/Fall2016/star_trek_beyond.html,,https://www.youtube.com/watch?v=XRVD32rnzOw
Eastern Corridor,9/29/2016,7:00 PM,9/29/2016,8:37 PM,False,http://cinema.cornell.edu/Fall2016/eastern_corridor.html,,
Blue Velvet,9/29/2016,9:45 PM,9/29/2016,11:45 PM,False,http://cinema.cornell.edu/Fall2016/blue_velvet.html,,http://www.youtube.com/watch?v=k_BybDB_phY
"Right Now, Wrong Then",9/30/2016,7:00 PM,9/30/2016,9:01 PM,False,http://cinema.cornell.edu/Fall2016/right_now_wrong_then.html,,http://vimeo.com/161624485
Star Trek Beyond,9/30/2016,9:30 PM,9/30/2016,11:32 PM,False,http://cinema.cornell.edu/Fall2016/star_trek_beyond.html,,https://www.youtube.com/watch?v=XRVD32rnzOw
Fantastic Planet,10/1/2016,7:15 PM,10/1/2016,8:27 PM,False,http://cinema.cornell.edu/Fall2016/fantastic_planet.html,,http://www.youtube.com/watch?v=SgCxCZNkQ9E
Blue Velvet,10/1/2016,9:00 PM,10/1/2016,11:00 PM,False,http://cinema.cornell.edu/Fall2016/blue_velvet.html,,http://www.youtube.com/watch?v=k_BybDB_phY
"Right Now, Wrong Then",10/2/2016,7:00 PM,10/2/2016,9:01 PM,False,http://cinema.cornell.edu/Fall2016/right_now_wrong_then.html,,http://vimeo.com/161624485
Star Trek Beyond,10/2/2016,9:30 PM,10/2/2016,11:32 PM,False,http://cinema.cornell.edu/Fall2016/star_trek_beyond.html,,https://www.youtube.com/watch?v=XRVD32rnzOw
Angkor Awakens: A Portrait of Cambodia,10/3/2016,7:00 PM,10/3/2016,8:20 PM,False,http://cinema.cornell.edu/Fall2016/angkor_awakens_a_portrait_of_cam.html,,http://www.youtube.com/watch?v=kg-Qrhdyxx4
Strange & Familiar: Architecture on Fogo Island,10/4/2016,7:00 PM,10/4/2016,7:54 PM,False,http://cinema.cornell.edu/Fall2016/strange__familiar_architecture_o.html,,http://www.youtube.com/watch?v=S1buyeWKIng
Don’t Blink: Robert Frank,10/5/2016,5:00 PM,10/5/2016,6:22 PM,False,http://cinema.cornell.edu/Fall2016/dont_blink_robert_frank.html,,http://vimeo.com/164471917
A Touch of Zen,10/5/2016,7:00 PM,10/5/2016,10:00 PM,False,http://cinema.cornell.edu/Fall2016/touch_of_zen.html,,http://vimeo.com/167023142
Strange & Familiar: Architecture on Fogo Island,10/6/2016,5:30 PM,10/6/2016,6:24 PM,False,http://cinema.cornell.edu/Fall2016/strange__familiar_architecture_o.html,,http://www.youtube.com/watch?v=S1buyeWKIng
Eva Hesse,10/6/2016,7:00 PM,10/6/2016,8:48 PM,False,http://cinema.cornell.edu/Fall2016/eva_hesse.html,,http://www.youtube.com/watch?v=aov6R8qmf10
Hunt for the Wilderpeople,10/6/2016,9:30 PM,10/6/2016,11:03 PM,False,http://cinema.cornell.edu/Fall2016/hunt_for_the_wilderpeople.html,,http://www.youtube.com/watch?v=tICv8QH3oM0
Don’t Blink: Robert Frank,10/7/2016,5:00 PM,10/7/2016,6:22 PM,False,http://cinema.cornell.edu/Fall2016/dont_blink_robert_frank.html,,http://vimeo.com/164471917
