Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
Oscar Shorts: Live Action! (2013),2/20/2014,9:15 PM,2/20/2014,9:15 PM,False,http://cinema.cornell.edu/Spring2014/oscar_shorts_live_action.html,,http://www.youtube.com/watch?v=I2EqS2kHL64
Oscar Shorts: Live Action! (2013),2/21/2014,7:00 PM,2/21/2014,7:00 PM,False,http://cinema.cornell.edu/Spring2014/oscar_shorts_live_action.html,,http://www.youtube.com/watch?v=I2EqS2kHL64
Oscar Shorts: Animation! (2013),2/21/2014,9:45 PM,2/21/2014,9:45 PM,False,http://cinema.cornell.edu/Spring2014/oscar_shorts_animation_2.html,,http://www.youtube.com/watch?v=I2EqS2kHL64
Champagne,2/22/2014,9:00 PM,2/22/2014,10:45 PM,False,http://cinema.cornell.edu/Spring2014/champagne.html,,http://www.youtube.com/watch?v=VlwE7OPU23o
Oscar Shorts: Documentary! (2013),2/23/2014,4:00 PM,2/23/2014,4:00 PM,False,http://cinema.cornell.edu/Spring2014/oscar_shorts_documentary.html,,http://www.youtube.com/watch?v=I2EqS2kHL64
Oscar Shorts: Animation! (2013),2/23/2014,7:15 PM,2/23/2014,7:15 PM,False,http://cinema.cornell.edu/Spring2014/oscar_shorts_animation_2.html,,http://www.youtube.com/watch?v=I2EqS2kHL64
It,2/25/2014,7:15 PM,2/25/2014,8:27 PM,False,http://cinema.cornell.edu/Spring2014/it.html,,http://www.youtube.com/watch?v=ZgBHsT1z0RI
The Last of the Unjust,2/26/2014,7:00 PM,2/26/2014,10:38 PM,False,http://cinema.cornell.edu/Spring2014/last_of_the_unjust.html,,http://www.youtube.com/watch?v=YhP3iQ3kyMs
12 Years a Slave,2/27/2014,7:00 PM,2/27/2014,9:14 PM,False,http://cinema.cornell.edu/Spring2014/12_years_a_slave.html,,http://www.youtube.com/watch?v=iiw1cYXQw4g
12 Years a Slave,2/28/2014,7:00 PM,2/28/2014,9:14 PM,False,http://cinema.cornell.edu/Spring2014/12_years_a_slave.html,,http://www.youtube.com/watch?v=iiw1cYXQw4g
The Hunger Games,2/28/2014,9:45 PM,2/28/2014,12:07 PM,False,http://cinema.cornell.edu/Spring2014/hunger_games.html,,http://www.youtube.com/watch?v=FovFG3N_RSU
Kid Flix Mix,3/1/2014,2:00 PM,3/1/2014,3:00 PM,False,http://cinema.cornell.edu/Spring2014/kid_flix_mix.html,,
Funny Face,3/1/2014,7:15 PM,3/1/2014,8:58 PM,False,http://cinema.cornell.edu/Spring2014/funny_face.html,,http://www.youtube.com/watch?v=3dYO3s4d244
The Hunger Games,3/1/2014,9:30 PM,3/1/2014,11:52 PM,False,http://cinema.cornell.edu/Spring2014/hunger_games.html,,http://www.youtube.com/watch?v=FovFG3N_RSU
12 Years a Slave,3/2/2014,4:30 PM,3/2/2014,6:44 PM,False,http://cinema.cornell.edu/Spring2014/12_years_a_slave.html,,http://www.youtube.com/watch?v=iiw1cYXQw4g
Sukkah City,3/2/2014,11:00 AM,3/2/2014,12:07 PM,False,http://cinema.cornell.edu/Spring2014/sukkah_city.html,,http://www.youtube.com/watch?v=v_ltoQpe-t0
Nashville,3/4/2014,7:30 PM,3/4/2014,10:11 PM,False,http://cinema.cornell.edu/Spring2014/nashville.html,,http://www.youtube.com/watch?v=nk25HB9JkLw
Funny Face,3/5/2014,8:00 PM,3/5/2014,9:43 PM,False,http://cinema.cornell.edu/Spring2014/funny_face.html,,http://www.youtube.com/watch?v=3dYO3s4d244
What Is Cinema?,3/6/2014,7:00 PM,3/6/2014,8:23 PM,False,http://cinema.cornell.edu/Spring2014/what_is_cinema.html,,http://www.youtube.com/watch?v=-2IsTHREVIM
The Hunger Games: Catching Fire,3/6/2014,9:45 PM,3/6/2014,12:11 PM,False,http://cinema.cornell.edu/Spring2014/hunger_games_catching_fi.html,,http://www.youtube.com/watch?v=keT5CRhhy84
Faust,3/7/2014,7:00 PM,3/7/2014,9:15 PM,False,http://cinema.cornell.edu/Spring2014/faust.html,,http://www.youtube.com/watch?v=rjWtMP6FFoI
The Hunger Games: Catching Fire,3/7/2014,9:45 PM,3/7/2014,12:11 PM,False,http://cinema.cornell.edu/Spring2014/hunger_games_catching_fi.html,,http://www.youtube.com/watch?v=keT5CRhhy84
Frozen,3/8/2014,2:00 PM,3/8/2014,3:48 PM,False,http://cinema.cornell.edu/Spring2014/frozen.html,,http://www.youtube.com/watch?v=TbQm5doF_Uc
Ilya and Emilia Kabakov: Enter Here,3/8/2014,7:00 PM,3/8/2014,8:43 PM,False,http://cinema.cornell.edu/Spring2014/ilya_and_emilia_kabakov.html,,http://www.youtube.com/watch?v=MA06E3li0Ak
The Hunger Games: Catching Fire,3/8/2014,9:45 PM,3/8/2014,12:11 PM,False,http://cinema.cornell.edu/Spring2014/hunger_games_catching_fi.html,,http://www.youtube.com/watch?v=keT5CRhhy84
Faust,3/9/2014,4:15 PM,3/9/2014,6:30 PM,False,http://cinema.cornell.edu/Spring2014/faust.html,,http://www.youtube.com/watch?v=rjWtMP6FFoI
The Hunger Games: Catching Fire,3/9/2014,7:15 PM,3/9/2014,9:41 PM,False,http://cinema.cornell.edu/Spring2014/hunger_games_catching_fi.html,,http://www.youtube.com/watch?v=keT5CRhhy84
Ilya and Emilia Kabakov: Enter Here,3/9/2014,11:00 AM,3/9/2014,12:43 PM,False,http://cinema.cornell.edu/Spring2014/ilya_and_emilia_kabakov.html,,http://www.youtube.com/watch?v=MA06E3li0Ak
“On Foot Brooklyn”,3/11/2014,7:30 PM,3/11/2014,8:30 PM,False,http://cinema.cornell.edu/Spring2014/on_foot_brooklyn.html,,
In Bloom,3/12/2014,7:15 PM,3/12/2014,8:57 PM,False,http://cinema.cornell.edu/Spring2014/in_bloom.html,,http://www.youtube.com/watch?v=zNbIHlnTO_U
